title,price,image
"
                                Велосипед Cannondele 
            ",680 ,https:////cdn5.focus.bg/bazar/a6/fp/a69ea0a8fb5b84dd62bdc65560b9a5f4.jpg
"
                                Велосипед Specialised 
            ",650 ,https:////cdn1.focus.bg/bazar/b1/fp/b1b54305233d78dedb6f96d170c89ad0.jpg
"
                                Велосипед 26цола 175лв
            ",175 ,https:////cdn1.focus.bg/bazar/e7/fp/e7cbd353be1d93c67fd7bfdac20e3051.jpg
"
                                алуминиев велосипед 28 цола CONWAY-една година гаранция
            ",245 ,https:////cdn1.focus.bg/bazar/9b/fp/9b9b98eb2eebca958e31bfb51200a258.jpg
"
                                велосипед 28 цола WINORA-една година гаранция
            ",165 ,https:////cdn1.focus.bg/bazar/11/fp/11217cfc400f57e39e595737e40736c5.jpg
"
                                Велосипед Vortex
            ",120 ,https:////cdn5.focus.bg/bazar/55/fp/55ae897248b04f1fc652aec5b6e58530.jpg
"
                                Градско колело City bike. 28”. Shimano 28 скорости
            ",400 ,https:////cdn1.focus.bg/bazar/65/fp/655c66aa98f01c32366e7002405175bd.jpg
"
                                Велосипед хибрид Giant roam xr 2
            ",780 ,https:////cdn1.focus.bg/bazar/b9/fp/b9f9e4dc28d611b80ab8b03c6b4883dc.jpg
"
                                Велосипед DRAG
            ",220 ,https:////cdn1.focus.bg/bazar/2a/fp/2ae03f688c9a32660b819d0492d8e2ab.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД СГЪВАЕМ B-TWIN TILT 120 20-ЦОЛА
            ",295 ,https:////cdn1.focus.bg/bazar/2b/fp/2bf8abbf86bcb0c01bc6d3b9b8fba539.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД ELECTRA LOFT 7D 2020г. модел 28-цола
            ",540 ,https:////cdn1.focus.bg/bazar/6b/fp/6badad64d8946a06936635cc00e8e959.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД PEGASUS 26-ЦОЛА
            ",140 ,https:////cdn1.focus.bg/bazar/f1/fp/f1378a2509eff0d627d615333db0af41.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД NERO 28-ЦОЛА
            ",280 ,https:////cdn1.focus.bg/bazar/49/fp/498e5bbc3285f736fb5baf2dbfef62fc.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД B-TWIN ORIGINAL 500
            ",270 ,https:////cdn1.focus.bg/bazar/48/fp/4803796e9f073bc9bd1b09e9fbfeac8a.jpg
"
                                ГРАДСКИ ВЕЛОСИПЕД RIVERSIDE CIVERSIDE 320TR
            ",390 ,https:////cdn1.focus.bg/bazar/7e/fp/7ea34bead5088898bc142cf5bd8f6b98.jpg
"
                                Карбонов велосипед  Specialized tarmac. 28 цола
            ",800 ,https:////cdn1.focus.bg/bazar/24/fp/2496e26ad1d456b890fedf9813cc9731.jpg
"
                                Градски алуминиев велосипед Ridgeback
            ",280 ,https:////cdn1.focus.bg/bazar/b7/fp/b7712206a87e3c89b223b0c73919278d.jpg
"
                                Алуминиев велосипед GT 26 цола
            ",220 ,https:////cdn1.focus.bg/bazar/64/fp/64750510fd365eff6930a011c2e2e3f2.jpg
"
                                Велосипед Rhino 24 цола
            ",220 ,https:////cdn1.focus.bg/bazar/95/fp/953d69a058ee1a5e148674a122296ca0.jpg
"
                                Английски алуминиев велосипед  Appollo FS26
            ",260 ,https:////cdn1.focus.bg/bazar/f3/fp/f3bd79150713f68df0eaca9293588ab7.jpg
"
                                Велосипед
            ",200 ,https:////cdn5.focus.bg/bazar/19/fp/1991938570061c13cbb62b022c3d9d80.jpg
"
                                Велосипед
            ",145 ,https:////cdn5.focus.bg/bazar/db/fp/db2efb18d1df50251ab6d9ecdcdfd4d3.jpg
"
                                алуминиев велосипед 28 цола HERCULES-една година гаранция
            ",360 ,https:////cdn1.focus.bg/bazar/fb/fp/fb0589b6a874359f72054b018e4c09ea.jpg
"
                                Електрически велосипед
            ",450 ,https:////cdn1.focus.bg/bazar/53/fp/53983b72a173eb96188041242f3c00ed.jpg
"
                                Дамски велосипед Releigh M 290 24 цола
            ",185 ,https:////cdn1.focus.bg/bazar/8d/fp/8d6215ef89d665bb95f0d6bf1f3d99f8.jpg
"
                                Американски велосипед GT ARROWHEAD
            ",280 ,https:////cdn1.focus.bg/bazar/52/fp/52b2be2c1f2ba2866d8450f1e719585b.jpg
"
                                Туристически сгъваем велосипед Appollo Tuck 20цола
            ",240 ,https:////cdn1.focus.bg/bazar/1c/fp/1c106e19bfa96317904bf0ed3ccba93c.jpg
"
                                Колело 
            ",1 000 ,https:////cdn5.focus.bg/bazar/97/fp/9726d6890c58f0be5c07e29cf4f0c74d.jpg
"
                                Велосипед с 24 инчови гуми. Само лично предаване.
            ",85 ,https:////cdn5.focus.bg/bazar/65/fp/65a502f65aee53c92befa70b3fca0baf.jpg
"
                                Колело
            ",500 ,https:////cdn1.focus.bg/bazar/03/fp/035cfb93deda57705fbe672790e066bb.jpg
"
                                18цолов велосипед BMX Rhino с 30дни гаранция 
            ",130 ,https:////cdn1.focus.bg/bazar/fb/fp/fbfa74f58a03b972c26d3bf5f6e18c11.jpg
"
                                18цолов детски велосипед с 30дни гаранция 
            ",99 ,https:////cdn1.focus.bg/bazar/5c/fp/5c653da616a5ad68ce0e8ea9ac2c3e1d.jpg
"
                                Btwin rockrider 25""
            ",230 ,https:////cdn1.focus.bg/bazar/7f/fp/7fadf77edfc1059ddb6886bc3c1e0973.jpg
"
                                Дан Хил Велосипед Giant Box Three 
            ",220 ,https:////cdn1.focus.bg/bazar/8e/fp/8e3de7e8f6d2399ed729ea4b4ec5c218.jpg
"
                                Страхотен велосипед 26 цола 
            ",160 ,https:////cdn1.focus.bg/bazar/4e/fp/4e44dd70c0403518b9ce49be0beb8b84.jpg
"
                                Алуминиев велосипед Ridgeback 28 цола 
            ",260 ,https:////cdn1.focus.bg/bazar/24/fp/2416d7c046e8bd65cf28c2b310c5d686.jpg
"
                                ретро колело
            ",280 ,https:////cdn5.focus.bg/bazar/ec/fp/ec2c84d08847bc97f43184ab59dbf3eb.jpg
"
                                Велосипед 26 цола 
            ",120 ,https:////cdn1.focus.bg/bazar/58/fp/5835a0a7be423ccd6c0be54132bc99bd.jpg
"
                                Карбонов велосипед 26 цола Giant
            ",690 ,https:////cdn1.focus.bg/bazar/70/fp/708663eb2f6a13747ac56a55ba91fb4f.jpg
"
                                Велосипед
            ",90 ,https:////cdn1.focus.bg/bazar/99/fp/99319cb3fe4ad0c112f975d6ec23f2fc.jpg
"
                                Алуминиев велосипед 29 цола 
            ",490 ,https:////cdn1.focus.bg/bazar/ae/fp/aee3c2518ab5d79be116c4ebc5f8386c.jpg
"
                                Немско дамско колело Diamont 
            ",690 ,https:////cdn1.focus.bg/bazar/72/fp/7298c5f95b5176e1302320c299736ab6.jpg
"
                                Колело 26 Bike. KONA. SCRAP
            ",590 ,https:////cdn1.focus.bg/bazar/7a/fp/7a71ed3f09c5a125a90b1a8ab2cc0153.jpg
